Fund Name,Fund Size (Billion USD),Company Name,Industry,Country,ESG score (Environmental),ESG score (Social),ESG score (Governance),ESG scoring date
WhiteRock ETF,100,Ryanair,Aviation,Ireland,90,72,88,2023-01-01
WhiteRock ETF,100,EasyJet,Aviation,UK,60,70,88,2023-01-01
WhiteRock ETF,100,Turner Construction,Construction,USA,50,60,85,2023-01-01
WhiteRock ETF,100,Bechtel,Construction,USA,55,50,60,2023-01-01
WhiteRock ETF,100,Lufthansa,Aviation,Germany,85,78,80,2023-01-01
WhiteRock ETF,100,KLM,Aviation,Netherlands,75,82,77,2023-01-01
WhiteRock ETF,100,Shell,Energy,Netherlands,72,78,74,2023-01-01
WhiteRock ETF,100,Chevron,Energy,USA,69,74,71,2023-01-01
WhiteRock ETF,100,TotalEnergies,Energy,France,71,76,73,2023-01-01
Dynamic Industries Fund,350,Turner Construction,Construction,USA,50,60,85,2023-01-01
Dynamic Industries Fund,350,Bechtel,Construction,USA,55,50,60,2023-01-01
Dynamic Industries Fund,350,Skanska,Construction,Sweden,65,70,68,2023-01-01
Dynamic Industries Fund,350,Vinci,Construction,France,70,75,72,2023-01-01
Dynamic Industries Fund,350,Nvidia,Technology,USA,75,88,90,2023-01-01
Dynamic Industries Fund,350,Apple,Technology,USA,95,90,92,2023-01-01
Dynamic Industries Fund,350,Microsoft,Technology,USA,80,89,91,2023-01-01
Dynamic Industries Fund,350,Google,Technology,USA,81,91,93,2023-01-01
Silverman Global ETF,400,Bechtel,Construction,USA,55,50,60,2023-01-01
Silverman Global ETF,400,Turner Construction,Construction,USA,50,60,85,2023-01-01
Silverman Global ETF,400,Shell,Energy,Netherlands,72,78,74,2023-01-01
Silverman Global ETF,400,Chevron,Energy,USA,69,74,71,2023-01-01
Silverman Global ETF,400,TotalEnergies,Energy,France,71,76,73,2023-01-01
Silverman Global ETF,400,Lufthansa,Aviation,Germany,85,78,80,2023-01-01
Silverman Global ETF,400,KLM,Aviation,Netherlands,75,82,77,2023-01-01
Silverman Global ETF,400,British Airways,Aviation,UK,80,85,83,2023-01-01
Global Energy Fund,1500,ExxonMobil,Energy,USA,70,75,72,2023-01-01
Global Energy Fund,1500,BP,Energy,UK,68,73,70,2023-01-01
Global Energy Fund,1500,Shell,Energy,Netherlands,72,78,74,2023-01-01
Global Energy Fund,1500,Chevron,Energy,USA,69,74,71,2023-01-01
Global Energy Fund,1500,TotalEnergies,Energy,France,71,76,73,2023-01-01
European Growth Fund,500,Shell,Energy,Netherlands,72,78,74,2023-01-01
European Growth Fund,500,TotalEnergies,Energy,France,71,76,73,2023-01-01
European Growth Fund,500,Skanska,Construction,Sweden,65,70,68,2023-01-01
European Growth Fund,500,Vinci,Construction,France,70,75,72,2023-01-01
European Growth Fund,500,British Airways,Aviation,UK,80,85,83,2023-01-01